year,duration,NAR,block,treat,NP,np,NR,ESNpie,beta,gamma,ANPP,BNPP,PAR
2018,1,6,4,2,2,N1P1,4,1.727380518,0.326171,34,578.25,166.3,2.255360019
2018,1,6,4,3,2,N1P1,4,2.276153095,0.347882,34,612.56,129.92,1.761385929
2018,1,0,4,1,0,N0P0,0,3.523692085,0.465286,35,268.3,109.13,28.76025959
2018,1,3,4,3,2,N1P1,1,2.942102574,0.3624324,30,567.53,205.28,4.423239948
2018,1,5,4,3,2,N1P1,3,3.037258859,0.3425738,34,537.91,176.69,1.248857908
2018,1,4,4,2,2,N1P1,2,1.934910121,0.3546351,34,507.28,135.12,1.509998171
2018,1,8,4,3,2,N1P1,6,2.313047396,0.3517933,29,493.53,168.9,1.717879091
2018,1,6,4,1,1,N1P0,5,2.410497096,0.2764948,33,396.62,280.63,9.827918882
2018,1,5,4,1,1,N1P0,4,2.506661934,0.3461836,37,455.51,38.98,8.089508128
2018,1,7,4,2,2,N1P1,5,2.889644793,0.4244918,34,515.63,124.73,2.955491882
2018,1,4,4,1,0,N0P0,4,4.620184983,0.3554874,37,242.03,200.08,31.76381811
2018,1,3,4,2,0,N0P0,3,3.366263697,0.4678124,43,233.12,252.05,34.80831454
2018,1,4,4,3,1,N1P0,3,2.705754203,0.4539542,38,579.43,148.11,2.721401469
2018,1,2,4,3,2,N1P1,0,1.96361961,0.4092136,35,552.75,236.46,3.37308925
2018,1,7,4,3,2,N1P1,5,2.57568926,0.3219846,28,644.87,111.73,2.488928785
2018,1,5,4,2,1,N1P0,4,2.165590382,0.3771006,36,562.32,187.09,6.068581279
2018,1,2,4,1,0,N0P0,2,2.991267257,0.3574102,41,263.25,98.74,26.62814964
2018,1,2,4,2,0,N0P0,2,4.570321014,0.4957668,36,247.15,77.95,39.25786831
2018,1,7,4,1,1,N1P0,6,2.702331703,0.3706993,32,467.27,150.71,8.888778845
2018,1,5,5,1,1,N1P0,4,2.64428554,0.3461836,37,487.4,148.11,8.567518985
2018,1,4,5,2,2,N1P1,2,1.934836241,0.3546351,34,461.85,127.32,2.088819907
2018,1,2,5,2,0,N0P0,2,3.659650967,0.4957668,36,216.45,153.31,29.60054295
2018,1,0,5,2,0,N0P0,0,3.542295306,0.4307963,35,218.31,197.48,29.68234942
2018,1,0,5,1,0,N0P0,0,3.71093657,0.465286,35,234.26,228.66,34.38726269
2018,1,3,5,3,2,N1P1,1,2.12276443,0.3624324,30,434.33,213.07,2.746036494
2018,1,4,5,1,0,N0P0,4,2.711392173,0.3554874,37,195.81,179.29,23.2880978
2018,1,7,5,1,1,N1P0,6,1.751341807,0.3706993,32,406.54,140.32,7.643429565
2018,1,7,5,3,2,N1P1,5,1.861700383,0.3219846,28,502.44,231.26,2.366965636
2018,1,8,5,3,2,N1P1,6,1.392930808,0.3517933,29,501.53,90.95,1.180902006
2018,1,2,5,3,2,N1P1,0,2.699778084,0.4092136,35,443.18,236.46,3.911539969
2018,1,4,5,3,1,N1P0,3,2.359483818,0.4539542,38,526.71,127.32,6.282929243
2018,1,3,5,1,0,N0P0,3,3.117162324,0.3246816,39,181.51,98.74,30.68628923
2018,1,6,5,3,2,N1P1,4,1.764869054,0.347882,34,600.39,270.24,4.148162589
2018,1,2,5,1,0,N0P0,2,2.953219756,0.3574102,41,376.91,163.7,40.51927921
2018,1,6,5,1,1,N1P0,5,2.131122788,0.2764948,33,543.11,132.52,5.234197095
